,Tweets
86,"""خوش گفتار"" وزیر داخلہ رانا ثنا اللہ خان کی خوش گفتاری ویسے تو کسی سے بھی پوشیدہ نہیں مگر وزیر داخلہ صاحب نے عمران خان کے قتل ہونے کے امکانات اور ن لیگ کی بقا کو عمران خان کی بقا سے جوڑا اس نے پاکستان میں تو تہلکہ مچایا عالمی میڈیا بھی حیران پریشان ہیں رانا ثنا کا بیان FIR بن… Show more"
87,"پہلے حسان نیازی کو گرفتار کیا پھر صدیق جان کو 
ابھی بھی وقت ہے جاگ جاؤ یہ وقت آپ پر بھی آ سکتا ہے"
88,This man Niazi is stooping to unprecedented lows in his desperation for power & going to the extent of damaging the country & undermining our armed forces & their leadership. /2 twitter.com/CMShehbaz/stat…
89,مجھے مزکورہ کلپ اسی حالت میں ملا تھا۔ تصحیح کے لیے شکریہ ۔ امید کرتا ہوں اسی طرح کسی دن آپکا محکمہ اپنی تصحیح بھی کر لے گا۔ کیوں مارتے تو آپ سب کو دشمنوں کی طرح ہی ہیں ۔ مگر ایک دن یہ عہدے اور زندگی نہیں رہے گی۔ ہر ظلم کا جواب بھی دینا پڑے گا۔
90,اب عدلیہ کو فیصلہ کرنا ہوگا کہ یہ ملک آئین پاکستان کے مطابق چلے گا یا پھر بند کمروں کے فیصلوں کی نظر ہو جائے گا۔ سپریم کورٹ کے فیصلے کی توہین میں الیکشن کمیشن نے PDM اور سہولتکاروں کی خواہش کے مطابق آئین کے مطابق الیکشن کروانے سے انکار کر دیا۔
91,پاکستان آسانی سے ہار نہیں مانتا۔۔۔
92,"پشتون کلچر میں جب جنگ ہوتی ہے تو اصول ہے کہ دشمن کی عورتوں اور بچوں کو ہاتھ نہیں لگایا جا سکتا۔

شاہد آفریدی نے آج پٹھانوں کو بدنام کیا ہے۔ بجائے اس کے کہ عورتوں پر چلائی گئی سیدھی گولیوں کی مذمت کرتا، ماوں بہنوں پر تشدد کے خلاف بیان دیتا، عمران خان کے گھر کو توڑنے کے خلاف… Show more"
93,میر صاحب جنہوں نے آپ کو یہ بتایا انھیں جا کر بتلا دیں کہ عوام آپ کے اس فیصلے کو جوتے کی نوک پر رکھ رہی ہے
94,سپریم کورٹ آف پاکستان میں انتخابات سے متعلق معاملہ سماعت کے لیے گیا تو ابتدائی طور پر 9 رکنی بینچ تشکیل دیا گیا، بعد ازاں چار ججز نے مختلف وجوہات پر بینچ سے علیحدہ ہوئے، تمام 9 ججز کی رائے تھی کہ بینچ کی دوبارہ تشکیل ہو اور اس کے لیے معاملہ چیف جسٹس کو بھیج دیا گیا 1/3
95,کاش اس دور کے عوام حق کے ساتھ کھڑے ہو کر اسٹیبلشمنٹ کی دھاندلی کا راستہ روک پاتے۔ جو چند کھڑے رہے انہیں سلام۔۔۔
